name,ra_deg,dec_deg,dm,dm_err,galactic_lat
FRB20180904A,286.58,81.22,361.13741,0.00079,26.22
FRB20180906A,141.48,14.29,383.456,0.012,40.61
FRB20180906B,185.75,56.42,3038.058,0.019,60.27
FRB20180907D,328.95,89.22,1447.098,0.013,26.57
FRB20180907A,320.87,29.46,877.24,0.011,-14.65
FRB20180907B,4.49,19.17,658.1899,0.0052,-43.0
FRB20180907C,41.72,77.07,638.1999,0.003,15.66
FRB20180907E,167.88,47.09,383.36,0.14,62.04
FRB20180908B,188.22,74.19,195.2393,0.0064,42.88
FRB20180909A,123.63,56.76,408.647,0.08,33.67
FRB20180910A,352.77,88.21,684.4081,0.0012,25.45
FRB20180915A,280.55,17.91,371.029,0.01,10.04
FRB20180915B,225.23,25.02,177.127,0.02,60.93
FRB20180916A,348.97,80.33,296.0275,0.0017,18.23
FRB20180916B,29.5031258,65.7167542,349.3491,0.0058,3.73
FRB20180916C,107.15,45.08,2252.873,0.036,21.71
FRB20180917B,238.8,77.53,857.038,0.027,35.37
FRB20180917A,65.54,73.63,189.917,0.018,16.58
FRB20180917A,65.54,73.63,189.917,0.018,16.58
FRB20180917A,65.54,73.63,189.917,0.018,16.58
FRB20180918A,301.27,64.96,1453.9882,0.0061,17.11
FRB20180919B,5.34,5.94,560.2214,0.0073,-56.14
FRB20180919A,65.54,73.63,188.85,0.26,16.58
FRB20180920A,78.89,28.29,555.66,0.17,-5.87
FRB20180920B,191.09,63.52,463.4,0.26,53.59
FRB20180921A,28.92,5.05,394.372,0.021,-54.27
FRB20180922A,342.29,69.67,555.687,0.013,9.29
FRB20180923A,327.61,71.92,219.4397,0.0056,13.83
FRB20180923D,169.08,48.75,329.3996,0.002,61.62
FRB20180923C,239.14,22.85,173.9839,0.0069,48.06
FRB20180924A,35.46,37.52,1116.5456,0.0034,-21.96
FRB20180925A,74.93,77.99,237.742,0.046,21.05
FRB20180925B,145.45,20.99,667.866,0.012,46.52
FRB20181012B,206.33,64.15,715.189,0.039,51.97
FRB20181013A,262.83,38.41,309.3055,0.0022,31.48
FRB20181013E,307.28,69.02,345.297,0.019,17.1
FRB20181013B,97.18,52.04,277.507,0.066,17.78
FRB20181013C,146.07,34.1,1005.766,0.014,49.48
FRB20181014A,46.01,63.33,1314.8896,0.0079,4.19
FRB20181014B,78.56,14.66,887.972,0.0069,-13.82
FRB20181014C,117.87,41.59,752.1671,0.0091,28.36
FRB20181014D,216.04,-2.93,377.132,0.011,52.54
FRB20181015A,175.76,83.58,568.8231,0.0056,33.25
FRB20181017B,237.76,78.5,307.369,0.034,34.93
FRB20181017A,256.33,68.28,1281.875,0.047,34.8
FRB20181018B,336.82,71.91,293.867,0.00093,12.12
FRB20181018A,17.03,51.55,1129.449,0.094,-11.24
FRB20181018C,67.15,37.57,411.1927,0.0023,-7.68
FRB20181019A,29.5031258,65.7167542,348.778,0.069,3.73
FRB20181019A,29.5031258,65.7167542,348.778,0.069,3.73
FRB20181019B,37.87,68.18,725.184,0.015,7.1
FRB20181019C,244.7,66.27,501.6356,0.0036,39.7
FRB20181020A,322.62,78.83,1112.473,0.034,19.7
FRB20181022C,141.56,83.81,528.473,0.016,30.89
FRB20181022D,179.18,36.53,514.33426,0.00093,75.08
FRB20181022E,221.18,27.13,285.986,0.014,64.85
FRB20181025A,105.78,64.25,592.5644,0.0044,25.49
FRB20181027A,131.9,-4.24,727.744,0.0064,23.4
FRB20181028A,65.54,73.63,189.1063,0.006,16.58
FRB20181028A,65.54,73.63,189.1063,0.006,16.58
FRB20181028A,65.54,73.63,189.1063,0.006,16.58
FRB20181028A,65.54,73.63,189.1063,0.006,16.58
FRB20181028A,65.54,73.63,189.1063,0.006,16.58
FRB20181030C,309.83,3.99,668.7601,0.0064,-21.77
FRB20181030A,158.35,73.79,103.396,0.0058,39.98
FRB20181030B,158.35,73.79,103.6425,0.0047,39.98
FRB20181030D,81.79,16.07,289.4422,0.003,-10.44
FRB20181030E,135.67,8.89,159.6902,0.0041,33.16
FRB20181101A,21.26,53.88,1472.678,0.06,-8.67
FRB20181102A,87.22,15.63,414.4649,0.0092,-6.21
FRB20181104A,29.5031258,65.7167542,349.4388,0.009,3.73
FRB20181104B,29.5031258,65.7167542,350.14,0.23,3.73
FRB20181104C,77.05,17.44,580.81762,0.00051,-13.47
FRB20181104C,77.05,17.44,580.81762,0.00051,-13.47
FRB20181115A,142.98,56.4,981.613,0.016,44.2
FRB20181116A,36.05,4.52,355.433,0.0018,-51.22
FRB20181116B,232.66,64.94,409.876,0.018,44.64
FRB20181117C,53.21,25.73,1773.7387,0.0011,-24.4
FRB20181117A,147.73,52.51,959.28,0.016,48.07
FRB20181117B,81.09,79.99,538.2,0.0081,23.06
FRB20181117B,81.09,79.99,538.2,0.0081,23.06
FRB20181118A,20.65,-6.41,557.4068,0.0083,-68.0
FRB20181118B,58.28,10.79,422.2771,0.0089,-31.89
FRB20181118C,65.54,73.63,190.167,0.037,16.58
FRB20181119B,299.38,31.12,609.1008,0.0052,1.09
