phi_deg,N_plus,N_minus,delta_mean,p_perm
0.0,35,60,-134.45128499999987,0.1458
10.0,31,64,-102.40962137096813,0.2938
20.0,24,71,-37.79419818075121,0.7146
30.0,19,76,-35.46172105263145,0.7538
40.0,17,78,-11.844202941176263,0.9244
50.0,17,78,-100.08845633484157,0.3968
60.0,15,80,-80.93373916666678,0.5182
70.0,14,81,-54.81461084656098,0.6788
80.0,15,80,-98.45811208333362,0.4234
90.0,16,79,-171.08892547468326,0.1482
100.0,17,78,-100.02472179487177,0.3982
110.0,18,77,-113.15808470418438,0.341
120.0,19,76,-121.00225394736822,0.2838
130.0,28,67,-8.689644402984868,0.94
140.0,34,61,56.76387068466738,0.5572
150.0,42,53,62.09211248876909,0.501
160.0,50,45,118.18636488888887,0.1828
170.0,57,38,107.25373771929844,0.2446
180.0,60,35,134.45128499999987,0.1486
