phi_deg,delta_dm,n_plus,n_minus,mean_plus,mean_minus,mw_pvalue,mw_method,ci68_lo,ci68_hi,axis_ra_deg,axis_dec_deg,abs_b_min,dm_min,mode
0.0,-89.30503150046593,37,58,1170.9882891891893,1260.2933206896553,0.23531406231063734,mwu,-171.72098842311306,-5.858978857409036,170.0,40.0,20.0,800.0,C
10.0,-113.46737738095226,35,60,1153.8477542857142,1267.3151316666665,0.13546731555934846,mwu,-196.55667832380973,-22.620219266666865,170.0,40.0,20.0,800.0,C
20.0,-120.54767921890061,34,61,1148.1070617647058,1268.6547409836064,0.14765350718929185,mwu,-200.28496513789761,-35.81279592285453,170.0,40.0,20.0,800.0,C
30.0,-67.61848704284239,29,66,1178.5343068965517,1246.152793939394,0.4845289245673219,mwu,-159.1778478683386,21.57223501985388,170.0,40.0,20.0,800.0,C
40.0,-44.45442972973001,21,74,1190.8836999999999,1235.3381297297299,0.5508956494042717,mwu,-144.66178000772211,58.62197155727138,170.0,40.0,20.0,800.0,C
50.0,-35.46172105263145,19,76,1197.1419842105263,1232.6037052631577,0.5239121886920381,mwu,-140.44936468421062,65.98631415789447,170.0,40.0,20.0,800.0,C
60.0,-25.337617171717056,18,77,1204.9745555555555,1230.3121727272726,0.5785131797899323,mwu,-133.88787492640688,95.48709357864352,170.0,40.0,20.0,800.0,C
70.0,-100.08845633484157,17,78,1143.3334705882353,1243.4219269230769,0.324386710896154,mwu,-206.58100606636535,2.747488422322385,170.0,40.0,20.0,800.0,C
80.0,-54.81461084656098,14,81,1178.7746928571428,1233.5893037037038,0.6106105451604502,mwu,-167.5395382998234,60.313175361551835,170.0,40.0,20.0,800.0,C
90.0,-98.45811208333362,15,80,1142.5992666666666,1241.0573787500002,0.268132483582027,mwu,-204.5490173666668,7.902610899999543,170.0,40.0,20.0,800.0,C
100.0,-85.77947548500879,14,81,1152.3730714285714,1238.1525469135802,0.32112107076236374,mwu,-202.93339140388008,26.384365611992575,170.0,40.0,20.0,800.0,C
110.0,-171.08892547468326,16,79,1083.2374125000001,1254.3263379746834,0.21568416567870818,mwu,-245.90175371835446,-96.65114120253172,170.0,40.0,20.0,800.0,C
120.0,-105.51750750360748,18,77,1139.9866444444444,1245.504151948052,0.4059947934482864,mwu,-194.7564274920638,-16.586167336219553,170.0,40.0,20.0,800.0,C
130.0,-121.00225394736822,19,76,1128.709557894737,1249.7118118421051,0.3039046514830367,mwu,-207.36142126315787,-31.839165368421195,170.0,40.0,20.0,800.0,C
140.0,-59.33431545893677,23,72,1180.542195652174,1239.8765111111109,0.6671512839945133,mwu,-148.35362684057998,24.925429241545576,170.0,40.0,20.0,800.0,C
150.0,-13.976986153846156,30,65,1215.94816,1229.925146153846,0.9521173592265316,mwu,-103.77424450256433,72.07215820512806,170.0,40.0,20.0,800.0,C
160.0,73.78121842105247,38,57,1269.780092105263,1195.9988736842106,0.741054631531305,mwu,-19.470992421052795,170.4456429473686,170.0,40.0,20.0,800.0,C
170.0,108.3452686666667,45,50,1282.5351866666665,1174.1899179999998,0.36121041258233877,mwu,15.426721573333374,193.89230159999983,170.0,40.0,20.0,800.0,C
180.0,89.30503150046593,58,37,1260.2933206896553,1170.9882891891893,0.23531406231063734,mwu,3.131300016775266,176.3387810139792,170.0,40.0,20.0,800.0,C
